D_CRIA,D_RECRIA,D_ENGORDA,D_CRIA_RECRIA,D_CRIA_ENGORDA,D_RECRIA_ENGORDA,D_CRIA_RECRIA_ENGORDA,PVACAS2ANOS,TX_LOT_UA,RACAO,ADUBPASTAGEM,RECEBEORIENT,PCONFINADOS,PVACASINSEM,P_LAV,P_PAST,P_SILV,PVTP_BOV,UA_BOV
0.4,0.057143,0.071429,0.142857,0.171429,0.028571,0.128571,0.2322,0.647035,0.057143,0.042857,0.128571,0.003615,0,0.03939,0.908302,0,0.425239,10.961
0.208333,0.125,0.291667,0.083333,0.166667,0,0.125,0.149338,0.408134,0.375,0.041667,0.041667,0.028355,0,0.163907,0.72427,0,0.783764,1.993
0.230769,0,0.384615,0.038462,0.076923,0,0.269231,0.332999,0.454778,0.076923,0.076923,0.269231,0,0.063341,0.006952,0.941487,0.001202,0.906308,10.689
0.352679,0.191964,0.089286,0.214286,0.026786,0.022321,0.102679,0.380382,0.484787,0.098214,0.053571,0.169643,0.003834,0.036644,0.02408,0.821271,0,0.777871,27.368
0.277778,0.055556,0.37037,0.018519,0.018519,0.037037,0.222222,0.117513,0.56173,0.351852,0.037037,0.277778,0.007056,0,0.107826,0.700773,0,0.736898,12.651
0.206897,0,0.275862,0,0.103448,0.034483,0.37931,0.278899,0.657677,0.413793,0.068966,0.103448,0.01486,0,0.082518,0.874599,0,0.860282,3.914
0.130081,0.056911,0.227642,0.03252,0.04878,0,0.504065,0.260764,0.591391,0.121951,0.01626,0.300813,0.020712,0.030041,0.056878,0.694529,0.002062,0.857032,21.774
0.222222,0,0.444444,0.111111,0,0.111111,0.111111,0.187056,1.147709,0.111111,0,0.111111,0,0,0.860076,0.091626,0,0.00243,830
0.253731,0.044776,0.283582,0.074627,0.029851,0,0.313433,0.368108,0.709038,0.164179,0,0.402985,0.013706,0,0.26026,0.534242,0.001356,0.622455,7.541
0.364407,0.050847,0.161017,0.118644,0.042373,0.033898,0.228814,0.28094,0.505509,0.152542,0.033898,0.186441,0.004588,0.002428,0.058922,0.709264,0.000327,0.448911,9.862
0.15625,0.03125,0.3125,0,0.1875,0.09375,0.21875,0.198283,0.694031,0.3125,0.09375,0.3125,0,0.134068,0.031129,0.917608,0,0.901627,8.514
0.21875,0.15625,0.3125,0,0.25,0.03125,0.03125,0.308736,0.470839,0.0625,0,0.15625,0,0.129199,0.032977,0.896194,0,0.768053,2.943
0.272727,0,0.454545,0,0,0,0.272727,0.23815,0.476636,0.363636,0.181818,0.454545,0,0,0.087054,0.883302,0,0.85972,1.122
0.171429,0.485714,0.314286,0,0.028571,0,0,0.218776,0.634259,0.057143,0,0.114286,0,0,0.012099,0.696915,0,0.7718,2.74
